# Time(s), X(km), Y(km), Z(km), VX(km/s), VY(km/s), VZ(km/s)
        0.000000,-321297.690072571160, 133068.222883130074,  73161.576564345407,     -0.830249143812,     -0.617175461616,     -0.359763988619
     3000.000000,-323774.598687145859, 131214.348156333057,  72080.525183008809,     -0.821026061460,     -0.618726145468,     -0.360928482246
     6000.000000,-326223.863490010903, 129355.954643724341,  70996.055992761496,     -0.811820025586,     -0.620188194856,     -0.362042653462
     9000.000000,-328645.536394064839, 127493.306380331516,  69908.318838518680,     -0.802631540970,     -0.621562850049,     -0.363107247873
    12000.000000,-331039.670729615726, 125626.663728153362,  68817.461351896287,     -0.793461048046,     -0.622851319459,     -0.364122995385
    15000.000000,-333406.321053758438, 123756.283471759816,  67723.628998479500,     -0.784308924499,     -0.624054779626,     -0.365090610096
    18000.000000,-335745.542964455672, 121882.418913902453,  66626.965125389266,     -0.775175486805,     -0.625174375226,     -0.366010790205
    21000.000000,-338057.392919095990, 120005.319971077610,  65527.611009091139,     -0.766060991674,     -0.626211219092,     -0.366884217939
    24000.000000,-340341.928057292942, 118125.233268989134,  64425.705903395137,     -0.756965637434,     -0.627166392261,     -0.367711559499
    27000.000000,-342599.206027681241, 116242.402237862261,  63321.387087597832,     -0.747889565313,     -0.628040944025,     -0.368493465022
    30000.000000,-344829.284818458313, 114357.067207563727,  62214.789914721674,     -0.738832860652,     -0.628835892011,     -0.369230568551
    33000.000000,-347032.222591412195, 112469.465502486273,  61106.047859809041,     -0.729795554017,     -0.629552222257,     -0.369923488028
    36000.000000,-349208.077519171580, 110579.831536158657,  59995.292568231489,     -0.720777622232,     -0.630190889318,     -0.370572825293
    39000.000000,-351356.907625406049, 108688.396905543705,  58882.653903977109,     -0.711778989316,     -0.630752816370,     -0.371179166098
    42000.000000,-353478.770627701189, 106795.390484989446,  57768.259997881680,     -0.702799527327,     -0.631238895334,     -0.371743080131
    45000.000000,-355573.723782827437, 104901.038519799578,  56652.237295771381,     -0.693839057113,     -0.631649987007,     -0.372265121051
    48000.000000,-357641.823734117090, 103005.564719390692,  55534.710606487235,     -0.684897348969,     -0.631986921209,     -0.372745826530
